run_name,tomo-align_softwares,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step
mba2011-02-04-1,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-2,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-3,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-4,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-5,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-6,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-7,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-8,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-9,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-10,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-11,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-12,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-13,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-14,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-15,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-16,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-17,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-18,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-19,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-20,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-21,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-24,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-04-25,['RAPTOR'],RAPTOR,65.0,-65.0,1.0
mba2011-02-03-2,['IMOD'],IMOD,70.0,-70.0,1.5
mba2011-02-03-8,['IMOD'],IMOD,70.0,-70.0,1.5
mba2011-02-04-22,['IMOD'],IMOD,65.0,-65.0,1.0
mba2011-02-04-23,['IMOD'],IMOD,65.0,-65.0,1.0
