run_name,ts-tilt_range-max,ts-total_flux
wnj2018-10-09-3,34.0,119.0
wnj2018-10-09-4,56.0,119.0
wnj2018-10-09-5,58.0,119.0
wnj2018-10-09-13,58.0,119.0
wnj2018-10-09-16,58.0,119.0
wnj2018-10-09-6,60.0,119.0
wnj2018-10-09-8,60.0,119.0
wnj2018-10-09-10,60.0,119.0
wnj2018-10-09-11,60.0,119.0
wnj2018-10-09-12,60.0,119.0
wnj2018-10-09-14,60.0,119.0
wnj2018-10-09-15,60.0,119.0
wnj2018-10-09-7,0.0,119.0
wnj2018-10-09-9,52.0,119.0
wnj2018-10-10-1,60.0,130.0
wnj2018-10-10-3,60.0,130.0
wnj2018-10-10-5,60.0,130.0
wnj2018-10-10-2,50.0,130.0
wnj2018-10-10-4,50.0,130.0
