run_name,tomo-reconstruction_method,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path
jsa2009-12-31-1,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_001.mrc
jsa2009-12-31-2,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_002.mrc
jsa2009-12-31-3,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_003.mrc
jsa2009-12-31-4,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_004.mrc
jsa2009-12-31-5,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_005.mrc
jsa2009-12-31-6,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_006.mrc
jsa2009-12-31-7,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_007.mrc
jsa2009-12-31-8,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_008.mrc
jsa2009-12-31-9,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_009.mrc
jsa2009-12-31-10,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_010.mrc
jsa2009-12-31-11,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_011.mrc
jsa2009-12-31-12,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_012.mrc
jsa2009-12-31-13,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_013.mrc
jsa2009-12-31-14,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_014.mrc
jsa2009-12-31-15,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_015.mrc
jsa2009-12-31-16,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_016.mrc
jsa2009-12-31-17,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_017.mrc
jsa2009-12-31-18,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_018.mrc
jsa2009-12-31-19,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_019.mrc
jsa2009-12-31-20,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_020.mrc
jsa2009-12-31-21,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_023.mrc
jsa2009-12-31-22,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_024.mrc
jsa2009-12-31-23,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_025.mrc
jsa2009-12-31-24,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_026.mrc
jsa2009-12-31-25,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_027.mrc
jsa2009-12-31-26,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_028.mrc
jsa2009-12-31-27,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_029.mrc
jsa2009-12-31-28,Weighted back projection,15.64,RAPTOR,rawdata/09dec31a_B864b_030.mrc
jsa2009-12-31-29,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_031.mrc
jsa2009-12-31-30,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_033.mrc
jsa2009-12-31-31,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_034.mrc
jsa2009-12-31-32,Weighted back projection,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_035.mrc
jsa2009-12-31-33,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_036.mrc
jsa2009-12-31-34,SIRT,15.64,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_037.mrc
jsa2009-12-31-35,Weighted back projection,15.48,RAPTOR;RAPTOR;RAPTOR,rawdata/09dec31a_B864b_038.mrc
