run_name,tomo-voxel_spacing,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant
rra2014-10-17-5,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-10,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-23,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-24,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-32,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-33,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-34,19.733,FEI,Polara,4.933,2.0
rra2014-10-17-35,19.733,FEI,Polara,4.933,2.0
rra2014-11-26-1,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-2,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-3,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-4,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-5,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-6,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-8,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-50,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-51,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-54,25.754,FEI,Polara,6.438,2.0
rra2014-11-26-52,25.754,TFS,Krios,6.438,2.7
