run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
aba2014-05-05-1,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-2,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-3,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-4,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-5,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-6,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-7,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-8,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-9,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-10,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-11,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-12,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-13,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-15,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-16,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-18,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-19,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-20,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,4
aba2014-05-05-14,,NON_FIDUCIAL,,,,,1
aba2014-05-05-17,,NON_FIDUCIAL,,,,,1
