run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
cwl2011-08-12-1,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-3,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-4,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-5,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-6,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-8,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-9,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-10,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-11,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-12,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-13,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-14,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-15,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-16,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-17,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-18,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-19,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-20,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-21,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-23,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-24,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-25,IMOD,FIDUCIAL,WBP,IMOD,28.38,9.46,IMOD,
cwl2011-08-12-26,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-27,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-28,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-29,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-30,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-1,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-2,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-3,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-4,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-5,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-6,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-7,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-9,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-10,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-11,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-13,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-14,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-15,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-16,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-17,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-18,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-19,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-20,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-21,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-22,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-23,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-24,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-13-25,IMOD,FIDUCIAL,WBP,IMOD,18.92,9.46,IMOD,
cwl2011-08-12-31,IMOD,FIDUCIAL,WBP,IMOD,12.521,6.26,IMOD,
cwl2011-08-13-12,,NON_FIDUCIAL,,,,9.46,,1
cwl2011-08-13-8,IMOD,FIDUCIAL,WBP,IMOD,18.92,,,
