run_name,tomo-align_softwares,tomo-fiducial_alignment_status,ts-tilt_alignment_software
psa2014-06-24-1,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-2,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-3,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-4,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-5,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-6,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-7,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-8,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-9,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-10,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-13,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-15,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-16,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-17,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-18,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-19,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-20,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-21,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-23,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-24,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-25,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-26,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-28,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-29,['RAPTOR'],FIDUCIAL,RAPTOR
psa2014-06-24-11,['autoPatch'],NON_FIDUCIAL,autoPatch
psa2014-06-24-12,['autoPatch'],NON_FIDUCIAL,autoPatch
psa2014-06-24-14,['autoPatch'],NON_FIDUCIAL,autoPatch
psa2014-06-24-22,['autoPatch'],NON_FIDUCIAL,autoPatch
psa2014-06-24-27,['autoPatch'],NON_FIDUCIAL,autoPatch
