run_name,frame_dose_rate,tilt_series_min_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_range-min,ts-tilt_step
cwl2012-08-16-1,1.2295081967213115,-60.0,4.0,1.0,29.6,4.933,-60.0,1.0
cwl2012-08-16-2,1.829268292682927,-60.0,4.0,1.5,9.867,4.933,-60.0,1.5
cwl2012-08-16-3,1.829268292682927,-48.0,3.0,1.5,9.867,9.867,-48.0,1.5
cwl2012-08-16-4,1.829268292682927,-39.0,3.0,1.5,19.733,4.933,-39.0,1.5
cwl2012-08-16-5,1.829268292682927,-42.0,3.0,1.5,19.733,4.933,-42.0,1.5
cwl2012-08-16-6,1.829268292682927,-36.0,3.0,1.5,19.733,4.933,-36.0,1.5
cwl2012-08-16-7,1.829268292682927,-19.5,3.0,1.5,19.733,4.933,-19.5,1.5
cwl2012-08-16-8,1.829268292682927,-60.0,4.0,1.5,19.733,4.933,-60.0,1.5
cwl2012-08-16-9,1.829268292682927,-36.0,3.0,1.5,19.733,4.933,-36.0,1.5
cwl2012-08-16-10,1.829268292682927,-60.0,4.0,1.5,19.733,4.933,-60.0,1.5
cwl2012-08-16-11,1.829268292682927,-60.0,4.0,1.5,19.733,4.933,-60.0,1.5
cwl2012-08-16-12,1.829268292682927,-60.0,4.0,1.5,19.733,4.933,-60.0,1.5
cwl2012-08-16-13,1.829268292682927,-60.0,4.0,1.5,9.867,4.933,-60.0,1.5
cwl2012-08-16-14,1.829268292682927,-60.0,4.0,1.5,9.867,4.933,-60.0,1.5
