run_name,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step
cwl2012-08-16-1,29.6,4.933,-60.0,4,1.0
cwl2012-08-16-2,9.867,4.933,-60.0,4,1.5
cwl2012-08-16-8,19.733,4.933,-60.0,4,1.5
cwl2012-08-16-10,19.733,4.933,-60.0,4,1.5
cwl2012-08-16-11,19.733,4.933,-60.0,4,1.5
cwl2012-08-16-12,19.733,4.933,-60.0,4,1.5
cwl2012-08-16-13,9.867,4.933,-60.0,4,1.5
cwl2012-08-16-14,9.867,4.933,-60.0,4,1.5
cwl2012-08-16-3,9.867,9.867,-48.0,3,1.5
cwl2012-08-16-4,19.733,4.933,-39.0,3,1.5
cwl2012-08-16-5,19.733,4.933,-42.0,3,1.5
cwl2012-08-16-6,19.733,4.933,-36.0,3,1.5
cwl2012-08-16-9,19.733,4.933,-36.0,3,1.5
cwl2012-08-16-7,19.733,4.933,-19.5,3,1.5
