run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
dga2016-12-16-2,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-6,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-7,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-8,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-9,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-10,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-11,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-12,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-14,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-15,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-16,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-18,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-19,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-20,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-21,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-22,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-23,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,1.5,140.0
dga2016-12-16-3,,NON_FIDUCIAL,None,None,,,1,1.5,140.0
dga2017-05-26-2,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-3,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-4,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-5,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-6,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-7,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-8,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-9,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-10,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-11,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-12,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-13,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-14,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-15,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
dga2017-05-26-16,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,1.56,RAPTOR,4,2.0,110.0
